Issue ID,Parent ID,Issue Type,Summary,Description,Sprint,Assignee,Priority,Start Date,Due Date,Story Points,Labels
94,88,Task,Candidate Ranking API,POST /api/ai/rank-candidates rank all candidates for a job by AI score,Sprint 2,bijon,Highest,06/Jul/26,07/Jul/26,,ai-service
95,88,Task,Custom Filtering Criteria API,POST /api/ai/filter-config allow recruiters to adjust weights per job,Sprint 2,bijon,High,07/Jul/26,08/Jul/26,,ai-service
96,88,Task,AI Integration with Backend,Connect Python AI service with Node.js backend via REST/HTTP,Sprint 2,bijon,Highest,08/Jul/26,09/Jul/26,,ai-service
97,88,Task,AI Results UI - Ranking View,Ranked candidate list with scores skill match % experience match %,Sprint 2,divagar,High,06/Jul/26,08/Jul/26,,frontend
98,88,Task,AI Results UI - Filter Config,UI for adjusting scoring weights per recruitment campaign,Sprint 2,divagar,Medium,08/Jul/26,09/Jul/26,,frontend
99,2,Story,Recruitment Workflow,Shortlisting recruiter review and interview tracking,Sprint 2,thuva,High,05/Jul/26,09/Jul/26,8,backend
100,99,Task,Shortlist Candidate API,PUT /api/candidates/:id/shortlist move to shortlisted status,Sprint 2,thuva,High,05/Jul/26,05/Jul/26,,backend
101,99,Task,Recruiter Review API,PUT /api/candidates/:id/review add review notes decision,Sprint 2,thuva,High,05/Jul/26,06/Jul/26,,backend
102,99,Task,Interview Status API,PUT /api/candidates/:id/interview schedule update interview status,Sprint 2,thuva,High,06/Jul/26,07/Jul/26,,backend
103,99,Task,Recruiter Comments API,POST /api/candidates/:id/comments add/view recruiter notes,Sprint 2,thuva,Medium,07/Jul/26,07/Jul/26,,backend
104,99,Task,Recruitment Pipeline UI (Kanban),Kanban board Applied Screened Shortlisted Interview Hired/Rejected,Sprint 2,divagar,High,05/Jul/26,08/Jul/26,,frontend
105,99,Task,Recruiter Review UI,Review panel with candidate details AI score add notes approve/reject,Sprint 2,divagar,High,08/Jul/26,09/Jul/26,,frontend
106,2,Story,Sprint 2 Risk & Security,CV data privacy and access control review,Sprint 2,maari,High,05/Jul/26,09/Jul/26,3,testing
107,106,Task,CV Data Privacy Review,Ensure uploaded CVs are stored securely access controlled,Sprint 2,maari,High,05/Jul/26,06/Jul/26,,testing
108,106,Task,Recruitment Access Control,Verify only HR roles can access recruitment module,Sprint 2,maari,High,06/Jul/26,07/Jul/26,,testing
109,106,Task,AI Bias Review,Check AI scoring does not discriminate based on irrelevant factors,Sprint 2,maari,Medium,07/Jul/26,08/Jul/26,,testing
110,106,Task,Sprint 2 Risk Report,Document risks found and mitigation actions,Sprint 2,maari,Medium,08/Jul/26,09/Jul/26,,documentation
111,2,Story,Sprint 2 QA & Client Demo,Test recruitment module and prepare client demo,Sprint 2,bijon,High,07/Jul/26,10/Jul/26,5,testing
112,111,Task,Test Job Vacancy CRUD,Create edit delete list jobs,Sprint 2,bijon,High,07/Jul/26,08/Jul/26,,testing
113,111,Task,Test Resume Upload,Single/bulk upload file types error handling,Sprint 2,bijon,High,08/Jul/26,08/Jul/26,,testing
114,111,Task,Test AI Ranking,Verify scores ranking order skill extraction accuracy,Sprint 2,bijon,Highest,08/Jul/26,09/Jul/26,,testing
115,111,Task,Test Recruitment Workflow,Pipeline stages status changes comments,Sprint 2,bijon,High,09/Jul/26,09/Jul/26,,testing
116,111,Task,Prepare Client Demo,Setup demo data prepare talking points,Sprint 2,bijon,High,09/Jul/26,10/Jul/26,,documentation
117,111,Task,Client Meeting 2 - Conduct Demo,Present recruitment module to client,Sprint 2,bijon,Highest,10/Jul/26,10/Jul/26,,documentation
118,3,Story,Employee Management Module,Employee CRUD profiles skills and performance,Sprint 3,thuva,Highest,11/Jul/26,17/Jul/26,13,backend
119,118,Task,Create Employee API,POST /api/employees personal info department role skills contact,Sprint 3,thuva,Highest,11/Jul/26,12/Jul/26,,backend
120,118,Task,Update Employee API,PUT /api/employees/:id edit profile skills department,Sprint 3,thuva,High,12/Jul/26,12/Jul/26,,backend
121,118,Task,Delete Employee API,DELETE /api/employees/:id soft delete deactivate,Sprint 3,thuva,High,12/Jul/26,12/Jul/26,,backend
122,118,Task,Get Employee List API,GET /api/employees pagination search filter by department/role/skill,Sprint 3,thuva,Highest,12/Jul/26,13/Jul/26,,backend
123,118,Task,Get Employee Profile API,GET /api/employees/:id full profile with projects tasks performance,Sprint 3,thuva,High,13/Jul/26,13/Jul/26,,backend
124,118,Task,Employee Skills API,PUT /api/employees/:id/skills add/update skills with proficiency,Sprint 3,thuva,High,13/Jul/26,14/Jul/26,,backend
125,118,Task,Employee Performance API,GET /api/employees/:id/performance task completion rate project count attendance %,Sprint 3,thuva,High,14/Jul/26,15/Jul/26,,backend
126,118,Task,Employee List UI,Table with search department filter role filter status badges,Sprint 3,divagar,Highest,11/Jul/26,14/Jul/26,,frontend
127,118,Task,Employee Profile UI,Profile page info skills radar chart current projects recent tasks,Sprint 3,divagar,High,14/Jul/26,16/Jul/26,,frontend
128,118,Task,Employee Create/Edit Form UI,Form with validation skill tags department selector,Sprint 3,divagar,High,16/Jul/26,17/Jul/26,,frontend
129,4,Story,Project Management Module,Project CRUD dashboard and progress tracking,Sprint 3,thuva,Highest,15/Jul/26,21/Jul/26,13,backend
130,129,Task,Create Project API,POST /api/projects name description manager team deadline tags,Sprint 3,thuva,Highest,15/Jul/26,16/Jul/26,,backend
131,129,Task,Update Project API,PUT /api/projects/:id edit details team deadline,Sprint 3,thuva,High,16/Jul/26,16/Jul/26,,backend
132,129,Task,Delete Project API,DELETE /api/projects/:id archive project,Sprint 3,thuva,Medium,16/Jul/26,16/Jul/26,,backend
133,129,Task,Get Projects API,GET /api/projects list with status progress % team count deadline,Sprint 3,thuva,Highest,16/Jul/26,17/Jul/26,,backend
134,129,Task,Get Project Detail API,GET /api/projects/:id full details with tasks team progress timeline,Sprint 3,thuva,High,17/Jul/26,17/Jul/26,,backend
135,129,Task,Project Progress Calculation,Auto-calculate progress from task completion %,Sprint 3,thuva,High,17/Jul/26,18/Jul/26,,backend
136,129,Task,Project Dashboard UI,Cards/table project name status progress bar team avatars deadline,Sprint 3,divagar,Highest,15/Jul/26,18/Jul/26,,frontend
137,129,Task,Project Detail UI,Detail page with tasks team timeline progress chart,Sprint 3,divagar,High,18/Jul/26,20/Jul/26,,frontend
138,129,Task,Project Create/Edit Form UI,Multi-step form details team selection deadline,Sprint 3,divagar,High,20/Jul/26,21/Jul/26,,frontend
139,4,Story,Task Management Module,Task CRUD assignment tracking and document upload,Sprint 3,thuva,Highest,18/Jul/26,24/Jul/26,13,backend
140,139,Task,Create Task API,POST /api/tasks title project assignee deadline priority description,Sprint 3,thuva,Highest,18/Jul/26,19/Jul/26,,backend
141,139,Task,Update Task API,PUT /api/tasks/:id edit details reassign change deadline,Sprint 3,thuva,High,19/Jul/26,19/Jul/26,,backend
142,139,Task,Update Task Status API,PUT /api/tasks/:id/status To Do In Progress Review Done,Sprint 3,thuva,Highest,19/Jul/26,20/Jul/26,,backend
143,139,Task,Delete Task API,DELETE /api/tasks/:id remove task from project,Sprint 3,thuva,Medium,20/Jul/26,20/Jul/26,,backend
144,139,Task,Get Tasks by Project API,GET /api/projects/:id/tasks all tasks for a project with filters,Sprint 3,thuva,Highest,20/Jul/26,20/Jul/26,,backend
145,139,Task,Get My Tasks API,GET /api/tasks/my-tasks tasks assigned to current user,Sprint 3,thuva,High,20/Jul/26,21/Jul/26,,backend
146,139,Task,Upload Task Documents API,POST /api/tasks/:id/documents upload supporting files,Sprint 3,thuva,High,21/Jul/26,21/Jul/26,,backend
147,139,Task,Task Board UI (Kanban),Drag-and-drop Kanban board To Do In Progress Review Done,Sprint 3,divagar,Highest,18/Jul/26,22/Jul/26,,frontend
148,139,Task,Task Detail Modal UI,Task details comments document uploads status change assignee,Sprint 3,divagar,High,22/Jul/26,23/Jul/26,,frontend
149,139,Task,My Tasks UI,Personal task list with filters by project status priority deadline,Sprint 3,divagar,High,23/Jul/26,24/Jul/26,,frontend
150,5,Story,AI Resource Allocation,AI-powered team recommendation for projects,Sprint 3,bijon,Highest,20/Jul/26,29/Jul/26,13,ai-service
151,150,Task,Employee Workload Analysis API,Calculate current task count hours deadline proximity per employee,Sprint 3,bijon,Highest,20/Jul/26,22/Jul/26,,ai-service
152,150,Task,Skill Matching Engine,Match required project skills with employee skill profiles,Sprint 3,bijon,Highest,22/Jul/26,24/Jul/26,,ai-service
153,150,Task,Availability Calculation,Check employee current commitments leave status workload %,Sprint 3,bijon,High,24/Jul/26,25/Jul/26,,ai-service
154,150,Task,AI Allocation Recommendation API,POST /api/ai/recommend-team given project requirements recommend best team,Sprint 3,bijon,Highest,25/Jul/26,27/Jul/26,,ai-service
155,150,Task,Manager Override,Allow managers to accept/modify AI recommendations,Sprint 3,bijon,High,27/Jul/26,28/Jul/26,,backend
156,150,Task,Resource Allocation UI,Recommendation panel suggested employees with match % workload skills,Sprint 3,divagar,High,25/Jul/26,28/Jul/26,,frontend
157,150,Task,Integration with Project Creation,Trigger allocation recommendations when new project is created,Sprint 3,bijon,High,28/Jul/26,29/Jul/26,,ai-service
158,8,Story,Risk Monitoring & Notifications,Deadline alerts workload monitoring and risk dashboard,Sprint 3,maari,High,20/Jul/26,30/Jul/26,8,backend
159,158,Task,Overloaded Employee Detection,Identify employees with >100% workload capacity,Sprint 3,maari,High,20/Jul/26,22/Jul/26,,backend
160,158,Task,Deadline Alert System,Detect tasks/projects approaching deadline 3 days 1 day overdue,Sprint 3,maari,High,22/Jul/26,24/Jul/26,,backend
161,158,Task,Notification Service API,POST /api/notifications create notifications for alerts,Sprint 3,maari,High,24/Jul/26,25/Jul/26,,backend
162,158,Task,Notification API,GET /api/notifications get user notifications mark as read,Sprint 3,maari,High,25/Jul/26,26/Jul/26,,backend
163,158,Task,Risk Dashboard API,GET /api/risk/dashboard overdue tasks overloaded employees at-risk projects,Sprint 3,maari,High,26/Jul/26,28/Jul/26,,backend
164,158,Task,Notification Bell UI,Real-time notification dropdown in header,Sprint 3,divagar,High,26/Jul/26,28/Jul/26,,frontend
165,158,Task,Risk Dashboard UI,Visual dashboard risk cards overdue tasks overloaded employees,Sprint 3,maari,High,28/Jul/26,30/Jul/26,,frontend
166,9,Story,Sprint 3 QA & Internal Review,Test all Sprint 3 modules and conduct internal review,Sprint 3,bijon,High,28/Jul/26,31/Jul/26,5,testing
167,166,Task,Test Employee CRUD,Create update delete search employees,Sprint 3,bijon,High,28/Jul/26,29/Jul/26,,testing
168,166,Task,Test Project Management,CRUD progress calculation team management,Sprint 3,bijon,High,29/Jul/26,29/Jul/26,,testing
169,166,Task,Test Task Management,Create assign status changes document upload,Sprint 3,bijon,High,29/Jul/26,30/Jul/26,,testing
170,166,Task,Test AI Allocation,Recommendation accuracy workload calculation,Sprint 3,bijon,Highest,30/Jul/26,30/Jul/26,,testing
171,166,Task,Integration Testing Sprint 1-3,All Sprint 1-3 modules working together,Sprint 3,bijon,Highest,30/Jul/26,31/Jul/26,,testing
172,166,Task,Internal Sprint Review,Demo to team retrospective,Sprint 3,bijon,High,31/Jul/26,31/Jul/26,,documentation
173,6,Story,Attendance Management,Clock in/out leave requests and attendance tracking,Sprint 4,thuva,Highest,01/Aug/26,06/Aug/26,13,backend
174,173,Task,Clock In API,POST /api/attendance/clock-in record clock-in time validate no duplicate,Sprint 4,thuva,Highest,01/Aug/26,02/Aug/26,,backend
175,173,Task,Clock Out API,POST /api/attendance/clock-out record clock-out calculate hours worked,Sprint 4,thuva,Highest,02/Aug/26,02/Aug/26,,backend
176,173,Task,Attendance History API,GET /api/attendance filter by employee date range department,Sprint 4,thuva,High,02/Aug/26,03/Aug/26,,backend
177,173,Task,Working Hours Calculation,Auto-calculate total hours overtime late arrival early departure,Sprint 4,thuva,Highest,03/Aug/26,04/Aug/26,,backend
178,173,Task,Attendance Percentage API,Calculate monthly attendance % per employee,Sprint 4,thuva,High,04/Aug/26,04/Aug/26,,backend
179,173,Task,Leave Request API,POST /api/leaves submit leave request with type dates reason,Sprint 4,thuva,High,04/Aug/26,05/Aug/26,,backend
180,173,Task,Leave Approval API,PUT /api/leaves/:id/approve manager approve/reject with comment,Sprint 4,thuva,High,05/Aug/26,05/Aug/26,,backend
181,173,Task,Leave History API,GET /api/leaves filter by employee type status date,Sprint 4,thuva,Medium,05/Aug/26,05/Aug/26,,backend
182,173,Task,Clock In/Out UI,Large clock-in/out button current status today hours timer,Sprint 4,divagar,Highest,01/Aug/26,03/Aug/26,,frontend
183,173,Task,Attendance History UI,Calendar view + table filter by date range export,Sprint 4,divagar,High,03/Aug/26,05/Aug/26,,frontend
184,173,Task,Leave Request UI,Form leave type date range reason submit status tracking,Sprint 4,divagar,High,05/Aug/26,06/Aug/26,,frontend
185,173,Task,Leave Approval UI,Manager view pending requests approve/reject with comments,Sprint 4,divagar,High,06/Aug/26,06/Aug/26,,frontend
186,7,Story,Reports & Dashboards,Analytics dashboards and downloadable reports,Sprint 4,divagar,High,05/Aug/26,10/Aug/26,13,frontend
187,186,Task,Recruitment Reports API,GET /api/reports/recruitment total applicants hired rejected avg score,Sprint 4,thuva,High,05/Aug/26,06/Aug/26,,backend
188,186,Task,Attendance Reports API,GET /api/reports/attendance per employee department date range,Sprint 4,thuva,High,06/Aug/26,06/Aug/26,,backend
189,186,Task,Employee Performance Reports API,GET /api/reports/employees task completion project involvement attendance,Sprint 4,thuva,High,06/Aug/26,07/Aug/26,,backend
190,186,Task,Project Reports API,GET /api/reports/projects status progress team timeline overdue tasks,Sprint 4,thuva,High,07/Aug/26,07/Aug/26,,backend
191,186,Task,Resource Utilization Reports API,GET /api/reports/resources workload distribution skill utilization,Sprint 4,thuva,Medium,07/Aug/26,08/Aug/26,,backend
192,186,Task,Dashboard Analytics UI,Charts bar pie line KPI cards statistics overview,Sprint 4,divagar,High,05/Aug/26,08/Aug/26,,frontend
193,186,Task,Recruitment Dashboard UI,Applicant funnel hiring rate job-wise stats,Sprint 4,divagar,High,08/Aug/26,09/Aug/26,,frontend
194,186,Task,Attendance Dashboard UI,Attendance trends late arrivals chart leave summary,Sprint 4,divagar,High,09/Aug/26,09/Aug/26,,frontend
195,186,Task,PDF Report Export,Generate downloadable PDF reports,Sprint 4,divagar,High,09/Aug/26,10/Aug/26,,frontend
196,186,Task,Excel Report Export,Generate downloadable Excel spreadsheets,Sprint 4,divagar,Medium,10/Aug/26,10/Aug/26,,frontend
197,8,Story,Activity Logs,Track all user actions across the system,Sprint 4,maari,High,01/Aug/26,07/Aug/26,5,backend
198,197,Task,Activity Log Middleware,Automatically log user actions across all modules,Sprint 4,maari,High,01/Aug/26,03/Aug/26,,backend
199,197,Task,Activity Log API,GET /api/activity-logs filter by user module action date,Sprint 4,maari,High,03/Aug/26,04/Aug/26,,backend
200,197,Task,Login/Logout Logs,Track all authentication events,Sprint 4,maari,High,04/Aug/26,04/Aug/26,,backend
201,197,Task,Attendance Logs,Track clock-in/out leave approvals,Sprint 4,maari,Medium,04/Aug/26,05/Aug/26,,backend
202,197,Task,Assignment Logs,Track employee-project and employee-task assignments,Sprint 4,maari,Medium,05/Aug/26,05/Aug/26,,backend
203,197,Task,Activity Log UI,Searchable filterable log table with timestamps users actions,Sprint 4,maari,High,05/Aug/26,07/Aug/26,,frontend
204,9,Story,System Integration,Merge all modules and verify end-to-end,Sprint 4,thuva,Highest,08/Aug/26,11/Aug/26,8,backend
